20110228GSC2038.0293_2-187R.fit    17    2011    2         28        22        57        53.0      40.0      
 1219263875860592384    562.47977    1501.5490           240.74317170541           +25.23041481590    16.0765      6.359     -7.994         0.4218           0.00
 1219266968237065856    1719.1699    589.05327           240.58252576851           +25.29208869296    16.4311      1.057     -14.090         0.4435           0.00
 1219262982508309632    1602.7485    1440.6332           240.62245545691           +25.20735840377    16.5311     -2.512     -6.224         0.3483           0.00
 1219265181530659712    733.57234    880.48243           240.70428291144           +25.28983841504    16.3926     -22.892      3.815         0.4320           0.00
 1219262192233349120    1218.9022    1923.3305           240.68135059115           +25.16839142761    16.5086     -3.149     -11.277         0.3204           0.00
 1219267895950005888    1763.2579    221.28407           240.56600141566           +25.32884629884    16.7965     -11.676     -2.074         0.7728           0.00
 1219252262269020800    279.63371    1590.1864           240.77825312035           +25.22923529260    16.4940      7.433      9.295         1.3830           0.00
 1219265868725429888    518.97423    471.84505           240.71610825966           +25.33810822981    16.5675     -4.541     -2.286         0.7579           0.00
 1219263532263218176    1199.1029    1148.9379           240.65946766352           +25.24892321850    16.9608     -57.840     -50.738         0.9592           0.00
 1219251953031372800    284.92873    1889.1634           240.78695341635           +25.19813177010    17.0405      3.271     -12.611         0.6437           0.00
 1219261917355443840    1749.5929    1925.8054           240.62083703168           +25.15307876960    16.7769     -0.357     -5.752         0.3402           0.00
 1219265593847519360    430.03297    761.94090           240.73528714143           +25.31048291451    16.9414     -0.652     -2.590         0.2363           0.00
20110228GSC2038.0293_2-178R.fit    36    2011    2         28        22        50        18.0      40.0      
 1219268823662931840    634.22293    383.89749           240.70020197879           +25.34382258659    10.2701     -213.697     -40.992        13.4786         -95.31
 1219251918671633408    121.73925    1887.3245           240.80560512693           +25.20283748348    11.5911     -1.213     -19.329         0.5084         -71.86
 1219250578641841152    840.17038    1927.6131           240.72477853756           +25.17845620552    11.9923     -0.536     -26.414         2.3070          -7.72
 1219262020434659456    1699.2044    1805.8583           240.62288194121           +25.16680238816    12.4515     -16.183     -0.799         1.9136         -32.65
 1219267861590264832    1585.6629    390.08358           240.59161467789           +25.31631607686    12.7308     -41.651     -12.381         2.6172         -58.14
 1219268136468174848    1729.2945    133.44757           240.56716352577           +25.33877498730    13.2418      2.901      1.175         2.1471         -12.54
