20110228GSC2038.0293_2-187R.fit    17    2011    2         28        22        57        53.0      40.0      
 1219266727718891264     1420.086      883.006           240.62610880126           +25.27059645441    13.6722      0.512     -6.742         0.2919         -34.04
 1219264872293010944      275.965      872.693           240.75650606548           +25.30397756493    13.5957     -15.021     -1.672        12.4306          -1.46
 1219268136468174720     1722.625      140.562           240.56838584490           +25.33878720368    14.6607      2.943      1.082         2.1350          -9.97
 1219271916039382016      101.771      259.414           240.75734756239           +25.37231944728    14.6149     -4.819      2.201         1.3427          -6.55
 1219265525128040704      362.783      864.316           240.74632512814           +25.30239053809    14.9181      1.134      0.413         0.4871           0.00
 1219268445705812352     1022.250      492.168           240.65938003591           +25.32227196487    15.2556     -4.265     -4.513         0.5769           0.00
 1219274905336624768      350.635       81.618           240.72337037967           +25.38370017828    15.4733     -25.243      5.647         1.7637           0.00
 1219267999029221888     1972.568      196.157           240.54153482004           +25.32592958514    15.9037      1.886     -3.146         0.5444           0.00
 1219262535830888192     1295.541     1593.789           240.66248570878           +25.20061736163    16.3048      2.295     -5.757         0.6975           0.00
 1219265696926734976      390.388      682.786           240.73750118284           +25.32034806586    15.6873     -6.113     -15.101         0.9394           0.00
 1219265147170920832      747.022      937.383           240.70471662667           +25.28395572038    15.8638     -2.901     -6.105         0.3800           0.00
 1219263875860592384      564.871     1505.346           240.74317170543           +25.23041481588    16.0765      6.359     -7.994         0.4218           0.00
 1219262089154135424     1347.591     1738.714           240.66103305102           +25.18414411619    15.9929      1.519     -8.333         0.1069           0.00
 1219264769213794944      258.517      948.052           240.76085674372           +25.29668582692    15.9448      2.738      0.096         1.5177           0.00
 1219262398391843200      995.926     1749.059           240.70158115826           +25.19304203281    16.2212      4.565     -3.769         1.0452           0.00
 1219262089154135552     1474.549     1764.756           240.64737879433           +25.17791903982    16.1600     -15.109     -1.267         0.7930           0.00
 1219262192233349120     1221.081     1926.019           240.68135059114           +25.16839142759    16.5086     -3.149     -11.277         0.3204           0.00
 1219262982508309632     1605.671     1443.588           240.62245545691           +25.20735840375    16.5311     -2.512     -6.224         0.3483           0.00
 1219251953031372800      286.646     1893.052           240.78695341636           +25.19813177008    17.0405      3.271     -12.611         0.6437           0.00
 1219263532263218176     1201.132     1152.385           240.65946766341           +25.24892321841    16.9608     -57.840     -50.738         0.9592           0.00
20110228GSC2038.0293_2-182R.fit    29    2011    2         28        22        53        40.0      40.0      
 1219268823662931840      634.763      388.293           240.70020197837           +25.34382258652    10.2701     -213.697     -40.992        13.4786         -95.31
 1219251918671633408      120.935     1891.509           240.80560512693           +25.20283748345    11.5911     -1.213     -19.329         0.5084         -71.86
